facility,period,variable,variable_clean,flag,indicator,region,district
Agule Community Health Centre III,2020-01-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-02-01,16,16,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-03-01,19,19,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-04-01,7,7,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-05-01,6,6,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-06-01,10,10,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-07-01,12,12,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-08-01,7,7,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-09-01,11,11,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-10-01,10,10,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-11-01,12,12,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-12-01,14,14,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-01-01,4,4,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-02-01,13,13,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-03-01,18,18,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-04-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-05-01,18,18,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-06-01,12,12,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-07-01,16,16,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-08-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-09-01,42,42,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-10-01,52,52,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
